board,keyword,title,url,demand_signal,scraped_at
e-shopping,蝦皮賣家,[問題] 蝦皮賣家為了五星要給我免費,https://www.ptt.cc/bbs/e-shopping/M.1771372992.A.6B8.html,True,2026-06-19T15:26:11.501267
e-shopping,蝦皮賣家,[問題] 蝦皮賣家未如期出貨，要怎麼保留訂單？,https://www.ptt.cc/bbs/e-shopping/M.1761038662.A.406.html,True,2026-06-19T15:26:11.501274
e-shopping,蝦皮賣家,[閒聊] 賣日雜附錄包的蝦皮賣家,https://www.ptt.cc/bbs/e-shopping/M.1754919202.A.365.html,True,2026-06-19T15:26:11.501277
e-shopping,蝦皮賣家,[問題] 蝦皮賣家缺貨硬出同筆訂單的其他商品,https://www.ptt.cc/bbs/e-shopping/M.1752899618.A.6E9.html,True,2026-06-19T15:26:11.501279
e-shopping,蝦皮賣家,[抱怨] 蝦皮賣家惡意不退貨,https://www.ptt.cc/bbs/e-shopping/M.1733593119.A.64A.html,True,2026-06-19T15:26:11.501281
e-shopping,蝦皮賣家,[問題] 蝦皮賣家大陸出貨的問題,https://www.ptt.cc/bbs/e-shopping/M.1732628433.A.5FE.html,True,2026-06-19T15:26:11.501283
e-shopping,蝦皮賣家,[抱怨] 蝦皮賣家退貨爭議,https://www.ptt.cc/bbs/e-shopping/M.1731028462.A.303.html,True,2026-06-19T15:26:11.501284
e-shopping,蝦皮賣家,[閒聊] 東京著衣創辦人喊話蝦皮賣家搬家到雅虎,https://www.ptt.cc/bbs/e-shopping/M.1729844736.A.82A.html,True,2026-06-19T15:26:11.501286
e-shopping,蝦皮賣家,[問題] 請問蝦皮賣家出貨的另約時間,https://www.ptt.cc/bbs/e-shopping/M.1728570899.A.192.html,True,2026-06-19T15:26:11.501287
e-shopping,蝦皮賣家,[閒聊] 被蝦皮賣家給封鎖了,https://www.ptt.cc/bbs/e-shopping/M.1724039375.A.FC5.html,True,2026-06-19T15:26:11.501289
e-shopping,蝦皮賣家,[問題] 蝦皮賣家少寄，但我想全部退款該怎麼辦？,https://www.ptt.cc/bbs/e-shopping/M.1722383444.A.363.html,True,2026-06-19T15:26:11.501291
e-shopping,蝦皮賣家,[問題] 蝦皮賣家說貨到達已簽收，但我沒收到,https://www.ptt.cc/bbs/e-shopping/M.1721307110.A.DF1.html,True,2026-06-19T15:26:11.501292
e-shopping,蝦皮賣家,Re: [問題] 蝦皮賣家寄錯物品處理的問題(0521後續),https://www.ptt.cc/bbs/e-shopping/M.1716279334.A.545.html,True,2026-06-19T15:26:11.501294
e-shopping,蝦皮賣家,[問題] 蝦皮賣家寄錯物品處理的問題,https://www.ptt.cc/bbs/e-shopping/M.1715760883.A.117.html,True,2026-06-19T15:26:11.501296
e-shopping,蝦皮賣家,[問題] 蝦皮賣家未依承諾給保固卡 但超過期限,https://www.ptt.cc/bbs/e-shopping/M.1707724412.A.6EC.html,True,2026-06-19T15:26:11.501297
e-shopping,蝦皮賣家,[抱怨] 不耐煩的蝦皮賣家,https://www.ptt.cc/bbs/e-shopping/M.1706750270.A.929.html,True,2026-06-19T15:26:11.501299
e-shopping,蝦皮賣家,[問題] 蝦皮賣家延長出貨時間怎麼辦,https://www.ptt.cc/bbs/e-shopping/M.1702485826.A.D4F.html,True,2026-06-19T15:26:11.501300
e-shopping,蝦皮賣家,[問題] 會隨貨付上紙本發票的蝦皮賣家,https://www.ptt.cc/bbs/e-shopping/M.1701077561.A.CD7.html,True,2026-06-19T15:26:11.501302
e-shopping,蝦皮賣家,[抱怨] 蝦皮賣家ken691205,https://www.ptt.cc/bbs/e-shopping/M.1695386226.A.7E3.html,True,2026-06-19T15:26:11.501303
e-shopping,蝦皮賣家,[問題] 蝦皮賣家都會故意放低價的東西 擾亂搜索,https://www.ptt.cc/bbs/e-shopping/M.1693258405.A.14C.html,True,2026-06-19T15:26:11.501305
e-shopping,比價,[閒聊] 黑五IHerb補貨單品比價,https://www.ptt.cc/bbs/e-shopping/M.1732799824.A.8AB.html,True,2026-06-19T15:26:12.142711
e-shopping,比價,[比價] 雙11正官庄高麗蔘精&amp;安寶適兒童益生菌,https://www.ptt.cc/bbs/e-shopping/M.1731211381.A.B06.html,True,2026-06-19T15:26:12.142727
e-shopping,比價,[問題] 尋找可以一次搜尋多個商品的比價軟體,https://www.ptt.cc/bbs/e-shopping/M.1714959051.A.400.html,True,2026-06-19T15:26:12.142731
e-shopping,比價,[比價] 多功能蒸煮美食鍋和電鍋挑選請益,https://www.ptt.cc/bbs/e-shopping/M.1668057329.A.663.html,True,2026-06-19T15:26:12.142733
e-shopping,比價,[比價] 佳德小潘鳳梨酥比價(momo pc books),https://www.ptt.cc/bbs/e-shopping/M.1662098400.A.D39.html,True,2026-06-19T15:26:12.142737
e-shopping,比價,[比價] 618特價繪本清單和Book Depository比價,https://www.ptt.cc/bbs/e-shopping/M.1655525078.A.7A7.html,True,2026-06-19T15:26:12.142740
e-shopping,比價,[比價] 近期韓貨春裝少少新品～,https://www.ptt.cc/bbs/e-shopping/M.1647090890.A.F61.html,True,2026-06-19T15:26:12.142743
e-shopping,比價,[問題] UGG台灣官網？(內含台日比價),https://www.ptt.cc/bbs/e-shopping/M.1641199393.A.B36.html,True,2026-06-19T15:26:12.142746
e-shopping,比價,[比價] 韓貨上衣少少比價,https://www.ptt.cc/bbs/e-shopping/M.1640088119.A.BF2.html,True,2026-06-19T15:26:12.142748
e-shopping,比價,[問題] 求快速簡易比價方法,https://www.ptt.cc/bbs/e-shopping/M.1635138476.A.8B4.html,True,2026-06-19T15:26:12.142751
e-shopping,比價,Re: [閒聊] 網購都會先比價嗎？,https://www.ptt.cc/bbs/e-shopping/M.1634011938.A.DEB.html,True,2026-06-19T15:26:12.142753
e-shopping,比價,[比價] 韓貨上衣,https://www.ptt.cc/bbs/e-shopping/M.1632763633.A.B4D.html,True,2026-06-19T15:26:12.142755
e-shopping,比價,[比價] 韓貨少少的比價,https://www.ptt.cc/bbs/e-shopping/M.1632216608.A.C6D.html,True,2026-06-19T15:26:12.142757
e-shopping,比價,[閒聊]  用以圖搜圖還是要記得比價,https://www.ptt.cc/bbs/e-shopping/M.1631189508.A.92D.html,True,2026-06-19T15:26:12.142759
e-shopping,比價,[比價] 泰山369油、天仁茶包 momo/pchome/家樂福,https://www.ptt.cc/bbs/e-shopping/M.1612783325.A.B2D.html,True,2026-06-19T15:26:12.142762
e-shopping,比價,[比價] 熊寶寶外套,https://www.ptt.cc/bbs/e-shopping/M.1611051808.A.CE3.html,True,2026-06-19T15:26:12.142764
e-shopping,比價,[比價] 韓貨少少款比價,https://www.ptt.cc/bbs/e-shopping/M.1609330957.A.4FB.html,True,2026-06-19T15:26:12.142766
e-shopping,比價,[比價] 韓 淺灰後車線男友褲&amp;交叉毛衣,https://www.ptt.cc/bbs/e-shopping/M.1605847179.A.77D.html,True,2026-06-19T15:26:12.142769
e-shopping,比價,[比價] 韓貨上衣/洋裝/外套/褲/裙,https://www.ptt.cc/bbs/e-shopping/M.1601538857.A.6B2.html,True,2026-06-19T15:26:12.142771
e-shopping,比價,[比價] 韓貨上衣/洋裝/外套,https://www.ptt.cc/bbs/e-shopping/M.1600019402.A.D1E.html,True,2026-06-19T15:26:12.142773
e-shopping,降價,[問題] MOMO購買電視隔天安裝但發現降價,https://www.ptt.cc/bbs/e-shopping/M.1756911452.A.146.html,False,2026-06-19T15:26:14.702358
e-shopping,降價,[情報] MOMO全亮白10入降價499,https://www.ptt.cc/bbs/e-shopping/M.1693196117.A.083.html,False,2026-06-19T15:26:14.702391
e-shopping,降價,[閒聊] 買完降價,https://www.ptt.cc/bbs/e-shopping/M.1663912512.A.EB6.html,False,2026-06-19T15:26:14.702394
e-shopping,降價,"[情報] momo購物網，小瓦掃拖機器人降價折4,801",https://www.ptt.cc/bbs/e-shopping/M.1596455120.A.B63.html,False,2026-06-19T15:26:14.702398
e-shopping,降價,[問題] 到貨的隔天大降價可以退貨再買嗎,https://www.ptt.cc/bbs/e-shopping/M.1567207558.A.0CE.html,False,2026-06-19T15:26:14.702401
e-shopping,降價,[情報] 天貓LF旗艦店外套降價,https://www.ptt.cc/bbs/e-shopping/M.1549195386.A.55B.html,False,2026-06-19T15:26:14.702405
e-shopping,降價,[問題] Yahoo購物中心降價可退價差?,https://www.ptt.cc/bbs/e-shopping/M.1547658642.A.DF3.html,False,2026-06-19T15:26:14.702408
e-shopping,降價,[問題] 用Line或聊聊聯絡後又降價的商品，可以買嗎,https://www.ptt.cc/bbs/e-shopping/M.1535819186.A.909.html,False,2026-06-19T15:26:14.702411
e-shopping,降價,[問題] 淘寶官方集運降價？,https://www.ptt.cc/bbs/e-shopping/M.1529154249.A.00D.html,False,2026-06-19T15:26:14.702414
e-shopping,降價,[閒聊] 淘寶商品尚未發貨卻降價了（結案）,https://www.ptt.cc/bbs/e-shopping/M.1511444317.A.9A8.html,False,2026-06-19T15:26:14.702417
e-shopping,降價,Re: [問題] 預購商品剛通知到貨，賣場就降價了,https://www.ptt.cc/bbs/e-shopping/M.1499172205.A.221.html,False,2026-06-19T15:26:14.702420
e-shopping,降價,[情報] shoebuy Dr. Martens 降價,https://www.ptt.cc/bbs/e-shopping/M.1479868646.A.13C.html,False,2026-06-19T15:26:14.702423
e-shopping,降價,[問題] 降價後的商品 會多買一件嗎 (內容更新),https://www.ptt.cc/bbs/e-shopping/M.1468147577.A.588.html,False,2026-06-19T15:26:14.702427
e-shopping,降價,[心得] 春季穿搭Gmarket降價大衣yabbi日貨韓連線,https://www.ptt.cc/bbs/e-shopping/M.1427383339.A.882.html,False,2026-06-19T15:26:14.702432
e-shopping,降價,[情報] nike air max Y購藍色降價+結帳95折,https://www.ptt.cc/bbs/e-shopping/M.1423587303.A.948.html,False,2026-06-19T15:26:14.702435
e-shopping,降價,[情報] 三井透膚絲襪降價,https://www.ptt.cc/bbs/e-shopping/M.1421048052.A.632.html,False,2026-06-19T15:26:14.702438
e-shopping,降價,[情報] UNIQLO 休閒毛絨 連帽外套 降價$890,https://www.ptt.cc/bbs/e-shopping/M.1420111793.A.AB3.html,False,2026-06-19T15:26:14.702441
e-shopping,降價,[閒聊] 達芙妮 的特惠降價把戲,https://www.ptt.cc/bbs/e-shopping/M.1416383265.A.69E.html,False,2026-06-19T15:26:14.702444
